0,1,2
Puesto,País o territorio dependiente,Población  (proyección 2024)[15]​
1.º,India,1 450 935 779
2.º,China,1 419 321 279
3.º,Estados Unidos,345 426 567
4.º,Indonesia,283 487 932
5.º,Pakistán,251 269 158
6.º,Nigeria,232 679 482
7.º,Brasil,211 998 564
8.º,Bangladés,173 562 367
9.º,Rusia,144 820 423
10.º,Etiopía,132 059 770
11.º,México,130 860 999
12.º,Japón,123 753 042
13.º,Egipto,116 538 256
14.º,Filipinas,115 843 663
15.º,República Democrática del Congo,109 276 265
16.º,Vietnam,100 987 686
17.º,Irán,91 567 737
18.º,Turquía,87 473 800
19.º,Alemania,84 552 236
20.º,Tailandia,71 668 010
21.º,Reino Unido,69 138 185
22.º,Tanzania,68 560 162
23.º,Francia,66 548 532
24.º,Sudáfrica,64 007 186
25.º,Italia,59 342 870
26.º,Kenia,56 432 945
27.º,Myanmar,54 500 087
28.º,Colombia,52 886 360
29.º,Corea del Sur,51 717 587
30.º,Sudán,50 448 962
31.º,Uganda,50 015 089
32.º,España,47 910 532
33.º,Argelia,46 814 301
34.º,Irak,46 042 015
35.º,Argentina,45 696 154
36.º,Afganistán,42 647 502
37.º,Yemen,40 583 174
38.º,Canadá,39 742 428
39.º,Polonia,38 539 208
40.º,Marruecos,38 081 175
41.º,Angola,37 885 853
42.º,Ucrania,37 860 222
43.º,Uzbekistán,36 361 859
44.º,Malasia,35 557 670
45.º,Mozambique,34 631 766
46.º,Ghana,34 427 416
47.º,Perú,34 217 850
48.º,Arabia Saudita,33 962 752
49.º,Madagascar,31 964 961
50.º,Costa de Marfil,31 934 229
51.º,Nepal,29 651 054
52.º,Camerún,29 123 748
53.º,Venezuela,28 405 544
54.º,Níger,27 032 418
55.º,Australia,26 713 206
56.º,Corea del Norte,26 498 834
57.º,Siria,24 672 757
58.º,Mali,24 478 596
59.º,Burkina Faso,23 548 782
60.º,Taiwán,23 213 963
61.º,Sri Lanka,23 103 559
62.º,Malaui,21 655 290
63.º,Zambia,21 314 960
